id,line,name,lat,lng,google_place_id,google_place_name,google_address,google_lat,google_lng
627,"용인경전철","보평",37.258965,127.218457,"ChIJPWPQS9pTezURrtnQnLDWhvo","보평역","용인시 유림동",37.2590595,127.218462
628,"용인경전철","둔전",37.267051,127.21364,"ChIJARd7z99TezURrOww2XjmZnM","둔전","용인시 포곡읍",37.267155,127.213625
629,"의정부경전철","발곡",37.727048,127.052803,"ChIJYVw5yEXHfDURrrE2JtkrMx8","발곡","의정부시 신곡동",37.726992,127.05291
630,"의정부경전철","송산",37.737279,127.087159,"ChIJUUVMaqvHfDURFoB0_f-pRZk","송산","의정부시 용현동",37.737281,127.087209
631,"의정부경전철","탑석",37.733579,127.088704,"ChIJe_ofA6zHfDURcEk3L-Gan1E","탑석","의정부시 용현동",37.733507,127.088914
632,"우이신설경전철","북한산우이",37.663146,127.012789,"ChIJwWA4JJq-fDURfXF0WJ1Sy-0","북한산우이","서울특별시 우이동",37.662909,127.012798
633,"03호선","약수",37.55434,127.010655,"ChIJpX7zzQ-jfDURjtMsQxSRQgA","약수역","서울특별시 중구 신당동 247-11",37.554347,127.011001
634,"우이신설경전철","솔밭공원",37.656088,127.013252,"ChIJw0xhCp6-fDURR6WnSMThq20","솔밭공원","서울특별시 쌍문동",37.656048,127.013278
635,"우이신설경전철","4.19민주묘지",37.6495332,127.011526,"ChIJtUgN8SO8fDURW5_86ypo0WQ","4.19민주묘지","서울특별시 우이동",37.649529,127.0137147
636,"우이신설경전철","가오리",37.641701,127.016792,"ChIJpQ4Nuz28fDUR0BUmh_cV3qQ","가오리","서울특별시 수유2동",37.641559,127.01681
637,"우이신설경전철","삼양사거리",37.621512,127.02048,"ChIJCW_dF2e8fDURAWLVecpyUkM","삼양사거리","서울특별시 미아동",37.621341,127.020507
638,"우이신설경전철","솔샘",37.62124,127.013528,"ChIJJUiFKV-8fDURAyAxBuvWjMs","솔샘","서울특별시 미아동",37.620266,127.013535
639,"우이신설경전철","북한산보국문",37.612343,127.008009,"ChIJAwl1c_C8fDUReOGLIssyI2s","북한산보국문","서울특별시 정릉동",37.612216,127.008154
640,"우이신설경전철","정릉",37.602798,127.01349,"ChIJ93eb2eu8fDURoNo6tD_zv0k","정릉","서울특별시 정릉1동",37.602667,127.013494
641,"우이신설경전철","성신여대입구",37.592624,127.016403,"ChIJc0iwHce8fDURptw3slomEFY","성신여대입구","서울특별시 성북구 동선동",37.592709,127.016539
642,"우이신설경전철","보문",37.585286,127.019381,"ChIJobxYNra8fDURoJh6rvQlN_c","보문","서울특별시 성북구 보문동",37.585533,127.019943
643,"02호선","까치산",37.531768,126.846683,"ChIJ9ziyUDWcfDURt7vTLqeyMZM","까치산","서울특별시 화곡동",37.531431,126.846921
644,"02호선","시청",37.564718,126.977108,"ChIJGZGr6_KifDURCV2mRG9hAZ4","시청","서울특별시 중구 지하 101",37.5657037,126.9768616
645,"04호선","이촌",37.522272,126.974345,"ChIJRRFp0B-ifDUR0DUy05OdfuI","이촌역","서울특별시 한강로동",37.522379,126.973651
646,"08호선","석촌",37.505431,127.106979,"ChIJl4SL1ZilfDURI0g6K0GLq9c","석촌","서울특별시 송파동",37.5057138,127.1070689
